KOI,pRad,pRad_err,pPer,pPer_err,pNum 
id,earth_rad,earth_rad,days,days,int 
K02832.01,0.749,0.1143,3.57554956,2.33e-05,1.0 
K02838.01,1.372,0.1505,7.69993485,4.73e-05,1.0 
K02838.02,1.201,0.119,4.77468005,4.01e-05,2.0 
K02841.01,2.613,0.048,159.388051,0.00276,1.0 
K02848.01,1.2841,0.084,13.7872576,0.0001304,1.0 
K02859.01,0.7472,0.079,3.4462039,2.02e-05,1.0 
K02859.02,0.6161,0.2,2.00541269,1.07e-05,2.0 
K02859.03,0.765,0.1866,4.28884513,3.54e-05,3.0 
K02859.04,0.766,0.0705,2.90513091,1.69e-05,4.0 
K02906.01,1.5,0.0613,13.9093583,0.0001552,1.0 
K02906.02,2.034,0.0555,145.888689,0.004739,2.0 
K02913.01,1.067,0.0515,2.88879862,1.88e-05,1.0 
K02915.01,0.8438,0.1,5.06093645,3.02e-05,1.0 
K02931.01,1.741,0.157,99.2530951,0.0008711,1.0 
K02943.01,2.2,0.071,54.4092333,0.0005236,1.0 
K02949.01,1.076,0.0804,10.1749173,0.000106,1.0 
K02949.02,0.8908,0.1593,3.75032103,4.44e-05,2.0 
K02951.01,0.7708,0.129,2.44357812,1.23e-05,1.0 
K02961.01,0.697,0.0865,3.78470649,2.72e-05,1.0 
K02977.01,0.96,0.1338,2.78815679,2.02e-05,1.0 
K02977.02,1.058,0.0738,4.13827595,2.62e-05,2.0 
K03008.01,1.188,0.051,2.99793191,2.52e-05,1.0 
K03009.01,0.927,0.0595,0.764864926,2.41e-06,1.0 
K03015.01,1.005,0.066,3.6146051,2.14e-05,1.0 
K03017.01,0.62,0.0765,2.46288711,1.88e-05,1.0 
K03032.01,1.214,0.074,0.63642408,1.6e-06,1.0 
K03039.01,1.592,0.066,20.3505213,0.0003037,1.0 
K03052.01,1.046,0.045,10.12960534,8.41e-05,1.0 
K03052.02,0.7965,0.099,15.611223,0.0001354,2.0 
K03057.02,1.841,0.0985,10.61369479,6.51e-05,1.0 
K03057.01,2.691,0.0765,29.7272142,0.0002042,2.0 
K03065.01,1.107,0.0787,0.896384959,3.06e-06,1.0 
K03075.01,0.704,0.1405,4.76559135,2.85e-05,1.0 
K03083.01,0.824,0.404,10.18316272,8.22e-05,1.0 
K03083.02,0.638,0.089,6.23219191,5.8e-05,2.0 
K03083.03,0.679,0.0455,8.2942479,0.0001611,3.0 
K03086.01,2.738,0.06,174.732103,0.002768,1.0 
K03093.01,1.2102,0.066,29.6091744,0.0003002,1.0 
K03097.01,1.307,0.0545,11.9216214,0.0001182,1.0 
K03097.02,0.8758,0.206,6.80252171,7.93e-05,2.0 
K03097.03,0.8272,0.1159,8.70337044,9.65e-05,3.0 
K03111.01,0.918,0.16,10.76798991,7.4e-05,1.0 
K03111.02,0.66,0.1292,4.32849536,3.98e-05,2.0 
K03117.01,0.817,0.126,6.06671508,3.25e-05,1.0 
K03130.01,2.423,0.0655,14.86386959,9.81e-05,1.0 
K03130.02,0.7122,0.048,5.65243986,3.5e-05,2.0 
K03146.01,1.991,0.0782,39.859484,0.001034,1.0 
K03158.05,0.679,11.841,9.74048418,1.36e-05,1.0 
K03158.03,0.53,0.0696,6.18940639,1.28e-05,2.0 
K03158.04,0.533,0.15,7.74347614,1.69e-05,3.0 
K03168.01,0.988,0.008,56.34811,0.001002,1.0 
K03179.01,0.8406,0.025,5.99077497,2.21e-05,1.0 
K03184.01,0.703,0.019,7.5459119,0.0001434,1.0 
K03190.01,0.7256,0.024,8.95296799,8.91e-05,1.0 
K03208.01,0.6302,0.021,2.131661909,8.45e-06,1.0 
K03214.01,1.2514,0.076,11.49499722,8.87e-05,1.0 
K03214.02,0.98,0.0761,25.0898366,0.0004414,2.0 
K03224.01,0.588,0.029,3.43862245,1.7e-05,1.0 
K03225.01,0.529,0.0825,4.87543387,3.87e-05,1.0 
K03232.01,1.188,0.0593,6.05922662,1.25e-05,1.0 
K03237.01,2.11,0.2126,33.42035034,9.31e-05,1.0 
K03245.01,0.961,0.1554,10.60052251,9.27e-05,1.0 
K03246.01,0.753,0.0535,0.689967832,4.95e-07,1.0 
K03248.01,0.689,0.0505,6.91261747,4.37e-05,1.0 
K03283.02,1.293,0.0905,20.5719613,0.0002714,1.0 
K03283.03,1.637,0.2595,87.707513,0.001119,2.0 
K03287.01,2.292,0.1102,51.1110243,0.0003738,1.0 
K03288.01,2.5867,0.0425,47.9872764,0.0001776,1.0 
K03301.01,2.321,0.057,20.7104915,0.0002007,1.0 
K03308.01,2.699,0.0995,31.7785901,0.0002734,1.0 
K03308.02,1.546,0.1835,5.32786292,5.39e-05,2.0 
K03310.01,1.3042,0.132,20.5512897,0.0001753,1.0 
K03315.01,1.395,0.2189,31.1750448,0.0002157,1.0 
K03340.02,1.2242,0.199,13.7280953,0.0001502,1.0 
K03340.01,1.0537,0.146,8.9539813,0.0001801,2.0 
K03346.01,1.3291,0.0995,14.4273551,8.41e-05,1.0 
K03358.01,3.8055,0.1195,10.1040384,6.33e-06,1.0 
K03363.01,2.161,0.0825,14.53261362,4.43e-05,1.0 
K03371.02,1.311,0.1323,12.25383217,8.41e-05,1.0 
